"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","collection"
"2026-kastner-oracle-longitudinal-OBS-063","2026-kastner-oracle-longitudinal","larry-ellison","larry-ellison","expert-opinion","2003","ellison-big-iron-demise","Larry Ellison and Michael Dell jointly predicted demise of Big Iron (high-end UNIX/mainframe) in favor of commodity x86 Linux clusters","high","ingest-extraction","archive-mining","2003-dell-and-oracle-boldly-predict-the-demise-of-big-i-073fba","Dorin Aberdeen 2003: Ellison/Dell commodity server thesis; Oracle 10g and RAC as grid-on-commodity platform; directed against IBM pSeries/zSeries and HP Superdome","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-064","2026-kastner-oracle-longitudinal","larry-ellison","larry-ellison","actual-outcome","2010","ellison-big-iron-demise-outcome","Big Iron partially displaced by x86 but not eliminated; Oracle subsequently acquired Sun and sold Exadata engineered systems — the most expensive Big Iron in the market","verified","web-source","wiki-driven-replication","","Oracle's own Exadata (2008) contradicted the commodity thesis; Exadata is engineered Big Iron at premium prices; IBM mainframe still shipping 2026; prediction partially right (UNIX displacement) but self-contradicted by Oracle's own product strategy","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-065","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-sun-sparc","thematic-thread-decomposition","2009","thread-10-sun-acquisition-population","~10 observations 2009–2015 on Sun acquisition and integration","high","ingest-extraction","archive-mining","","THREAD-10: Sun Microsystems Acquisition. Oracle acquired Sun 2010 for $7.4B — acquiring Java/MySQL/Solaris/SPARC in a single transaction; most strategic technology acquisition in the archive","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-066","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-sun-sparc","strategy-classification","2009","sun-acquisition-rationale","Oracle acquired Sun to control Java — the most widely deployed enterprise application runtime — and to gain hardware systems business","high","ingest-extraction","archive-mining","on-computers-tips-is-sun-s-sparc-archite-65b3b9","Kastner 2009 (2 obs): SPARC architecture on life support before Oracle acquisition; Oracle's rationale was Java control + vertical integration into hardware/software stack","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-067","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-sun-sparc","actual-outcome","2017","sparc-discontinuation","Oracle discontinued SPARC processor development 2017; Solaris development frozen 2018","verified","web-source","wiki-driven-replication","","Oracle ended SPARC chip development with M8 processor 2017; Solaris 11.4 (2018) last major release; hardware business wound down; Java and MySQL the durable acquisitions","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-068","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-java","actual-outcome","2026","java-acquisition-outcome","Java remained the dominant enterprise programming language 15 years post-Oracle acquisition","verified","web-source","wiki-driven-replication","","Java holds ~30% of enterprise application development share as of 2026 (RedMonk/Tiobe indexes); Oracle Java SE subscription model controversial but Java ecosystem intact; most durable asset from Sun acquisition","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-069","2026-kastner-oracle-longitudinal","oracle-corporation","mysql","actual-outcome","2026","mysql-acquisition-outcome","MySQL remained world's most widely deployed open-source database 15 years post-Oracle acquisition","verified","web-source","wiki-driven-replication","","MySQL holds dominant web/cloud application database position (WordPress/Meta/Twitter infrastructure); Oracle maintained community edition; MariaDB fork created by MySQL founders as hedge","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-070","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-oci","thematic-thread-decomposition","2016","thread-11-cloud-population","~15 observations 2016–2026 on cloud pivot and OCI","high","ingest-extraction","archive-mining","","THREAD-11: Cloud Pivot and OCI Buildout. Oracle was among the last major enterprise software vendors to embrace cloud delivery; OCI Gen 2 (2016) launched as credible AWS/Azure alternative; Autonomous Database (2018) as primary differentiator","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-071","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-oci","strategy-classification","2016","oci-differentiation-thesis","Oracle OCI Gen 2 differentiated on security architecture (no shared tenancy for control plane) and price parity with AWS","high","ingest-extraction","archive-mining","","Oracle OCI Gen 2 claimed architectural superiority over AWS/Azure on isolation and security; aggressive pricing — 1/3 AWS price on comparable compute; designed to capture Oracle Database cloud migration","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-072","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-autonomous-db","technology-assessment","2018","autonomous-database-launch","Oracle Autonomous Database launched 2018 — first commercially available self-driving/self-patching/self-scaling database","high","ingest-extraction","archive-mining","","Autonomous DB positioned as the end of DBA manual operations; machine learning-driven; runs on Exadata cloud infrastructure; Oracle 23ai extended with AI vector search 2024","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-073","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-oci","actual-outcome","2026","oci-market-position-2026","Oracle OCI grew to approximately 4-5% public cloud market share by 2026 — small but profitable and growing","verified","web-source","wiki-driven-replication","","OCI market share trails AWS (~33%) and Azure (~23%) and GCP (~12%) significantly; however Oracle claims OCI is growing faster than AWS in its comparable period; enterprise Oracle workloads represent core TAM","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-074","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-23ai","technology-assessment","2024","oracle-23ai-ai-vector-search","Oracle Database 23ai introduced native AI vector search — completing the arc from Oracle InterOffice document summarization (1995) to in-database AI (2024)","high","ingest-extraction","archive-mining","","Oracle 23ai positions the database as the AI data platform; vector search on structured+unstructured data; in-database ML via Oracle Machine Learning; Select AI natural language query — all echoing InterOffice's 1995 document intelligence vision","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-075","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-rdbms","expert-opinion","2026","oracle-archive-summary-finding","Oracle's core RDBMS franchise is the single most durable technology asset in the Kastner archive — surviving four decades of predicted displacement events with zero confirmed market exits","high","ingest-extraction","archive-mining","","Object-relational (refuted); NoSQL (refuted); cloud-native NewSQL (ongoing); Oracle Database has adapted to every architectural shift without losing enterprise market leadership","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-076","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-interoffice","expert-opinion","2026","interoffice-ai-arc-closure","Oracle's trajectory from InterOffice document summarization (1995) to Oracle 23ai vector search (2024) is the archive's most complete 'first hint to full realization' AI arc","high","ingest-extraction","archive-mining","","Kastner noted Oracle InterOffice as the first AI hint in the archive. Oracle 23ai closes the arc: the same company that offered proto-AI in a groupware product in 1995 now offers in-database generative AI in 2024","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-077","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-data-mart-suite","technology-assessment","1997","oracle-data-mart-nt","Oracle Data Mart Suite for NT addressed mass-market data warehousing opportunity on Windows NT — first Oracle DW product targeting mid-market","high","ingest-extraction","archive-mining","1997-oracle-data-mart-suite-for-nt-926845","Aberdeen 1997 (14 obs): Oracle Data Mart Suite for NT hit mass-market sweet spot; pre-built data mart schemas; Oracle DB as foundation; positioned against Sagent / MicroStrategy on NT","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-078","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-analytics","actual-outcome","2026","oracle-analytics-lineage","Oracle Analytics Cloud (2020) traces lineage from Data Mart Suite (1997) through OBIEE (2007) — 27-year business intelligence evolution","verified","web-source","wiki-driven-replication","","Oracle Data Mart Suite → Oracle Discoverer → Oracle BI Enterprise Edition (Siebel Analytics) → OBIEE → Oracle Analytics Cloud; consistent BI investment across three decades","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-079","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-rdbms","technology-assessment","1993","rdbms-report-card-1993","Kastner 1993 RDBMS Report Card graded Oracle7 as market leader across performance / portability / SQL compliance / developer tools","high","ingest-extraction","archive-mining","nti-6-rdbms-technology-48f4aa","Kastner et al. 1993: Oracle7 received highest composite grade; IBM DB2 second; Sybase and Informix competitive on UNIX; Ingres weak; early benchmark for archive's most-analyzed technology category","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-080","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-applications","technology-assessment","2001","point-vs-integrated-debate","Aberdeen 2001: Point solutions vs. integrated Oracle Applications — ROI analysis favored integration for large enterprises","high","ingest-extraction","archive-mining","oracleroiwhitepaperprod-7-bcf73f","Jones/Dwyer/Kastner Aberdeen 2001: Integrated Oracle Applications delivered measurable ROI through eliminated integration cost; point solution advantage eroded above 1000-employee threshold","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-081","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-supply-chain","technology-assessment","2000","e-business-supply-chain","Oracle E-Business Suite supply chain positioned as real-time customer-requirement-driven planning platform","high","ingest-extraction","archive-mining","2000-oracle-the-e-business-supply-chain-meeting-cu-r-re-1a72ef","Minahan Aberdeen 2000 (12 obs): Oracle SCM proposed real-time demand sensing + supplier collaboration via Internet; ahead of market adoption curve in 2000","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-082","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-exadata","actual-outcome","2026","exadata-as-self-contradiction","Oracle Exadata (2008) — Oracle's engineered Big Iron system — directly contradicted Larry Ellison's 2003 commodity-hardware predictions","verified","web-source","wiki-driven-replication","","Ellison/Dell 2003: commodity x86 clusters will kill Big Iron. Oracle Exadata 2008: $500K–$2M engineered system combining proprietary storage cells with Oracle DB. The archive's clearest CEO self-contradiction","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-083","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-rdbms","market-data","2026","oracle-database-revenue-2026","Oracle Database and cloud services revenue approximately $20B annually as of FY2026","high","ingest-extraction","archive-mining","","Oracle FY2026 cloud and license revenue ~$20B+ for database-related products; Oracle total revenue ~$57B FY2026; database remains ~35% of revenue despite applications growth","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-084","2026-kastner-oracle-longitudinal","oracle-corporation","pl-sql","technology-assessment","2026","pl-sql-lock-in-durability","PL/SQL stored procedures remain Oracle's single most effective switching-cost mechanism — unchanged from Kastner's 1993 identification","verified","ingest-extraction","wiki-driven-replication","","PL/SQL installed base represents hundreds of billions of lines of enterprise code globally; migration cost effectively locks Oracle DB customers; identified as strategic moat by Kastner 1993 and still operative 2026","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-085","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-hcm","actual-outcome","2026","hcm-competitive-position","Oracle HCM Cloud competes with Workday for cloud HCM market; PeopleSoft acquisition (2005) provided the HCM capability foundation","verified","web-source","wiki-driven-replication","","Oracle HCM Cloud vs. Workday is the defining cloud HCM contest as of 2026; Oracle's PeopleSoft-derived HCM capability the foundation; Workday growing faster in new-logo cloud HCM","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-086","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-financials","actual-outcome","2026","erp-cloud-competitive-position","Oracle Cloud ERP (Fusion Financials) competes with SAP S/4HANA Cloud for large enterprise ERP cloud migrations","verified","web-source","wiki-driven-replication","","Oracle Cloud ERP and SAP S/4HANA Cloud represent the two dominant enterprise ERP cloud choices as of 2026; Oracle stronger in financial services/utilities; SAP stronger in manufacturing","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-087","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-interoffice","analytical-finding","1995","interoffice-first-ai-feature-in-archive","Oracle InterOffice (1995) is the earliest product in the 73-study Kastner Oracle archive to offer an AI-adjacent feature (document summarization)","high","ingest-extraction","archive-mining","aberdeen-1995-oracle-interoffice","No earlier study in the Oracle archive references document summarization or any automated intelligence extraction from text. This is the archive's proto-AI observation OBS-1.","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-088","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-nca","technology-assessment","1996","nca-platform-breadth","Oracle NCA defined a three-tier architecture: Oracle Web Application Server (app tier) + Oracle8 (data tier) + NC/browser (client tier)","high","ingest-extraction","archive-mining","aberdeen-1996-oracle-network-computing-architecture","Aberdeen 1996: NCA coherently defined each tier; Ellison claimed this eliminated the Windows monopoly; architecture later validated as the web application model though Oracle's specific products did not win","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-089","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-apex","actual-outcome","2026","apex-as-developer2000-successor","Oracle APEX (2004–present) is the durable successor to Developer/2000 — Oracle-native low-code development on Oracle DB","verified","web-source","wiki-driven-replication","","Oracle APEX 24.1 (2024) is actively developed; dominates Oracle-native application development; ~10M APEX applications deployed globally; Developer/2000 lineage continues","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-090","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-corporation","analytical-finding","2026","oracle-refutation-rate","Oracle archive contains multiple confirmed prediction refutations — RDBMS displacement (2x refuted); NC device (refuted); Big Iron demise (partially refuted by Oracle itself)","medium","ingest-extraction","archive-mining","","Unlike IBM (0 formal refutations) and Intel (9.7% refutation rate in viability rows) Oracle has a distinctive pattern: Ellison's competitive predictions about Oracle winning new markets frequently failed while Oracle's core franchise proved indestructible","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-091","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-corporation","expert-opinion","2026","oracle-longitudinal-headline-finding","Oracle's paradox: the company that repeatedly predicted displacement of incumbents (PC, Big Iron, proprietary software) survived every prediction of its own displacement — while its own disruptive bets (NC, InterOffice) failed","high","ingest-extraction","archive-mining","","The Oracle archive documents a company whose external disruption predictions largely failed while its core franchise proved indestructible; Oracle is simultaneously the archive's most frequent predictor and most frequent self-refuter","kastner-longitudinal"
