"id","field","kept_value","all_values","study_count"
"compaq-computer","entity_name","Compaq Computer Corporation","Compaq Computer || Compaq Computer Corporation || IBM || Marshall McLuhan || Sun Microsystems","46"
"compaq-computer","entity_type","corporation","company || corporation || firm || person","46"
"compaq-computer","sector","information-technology","Enterprise Computing || PC / server hardware || PC-and-server || PC-manufacturing || PC-server-hardware || PC/Server Hardware || academia || computing-hardware || enterprise-computing || hardware || information-technology || personal-computer || systems-hardware || technology","46"
"compaq-computer","status","[DEFERRED]","[DEFERRED] || acquired || active || deceased || dissolved","46"
"compaq-computer","successor","Hewlett-Packard (2002, $25B)","HP (2002) || Hewlett-Packard || Hewlett-Packard (2002) || Hewlett-Packard (2002, $25B) || Hewlett-Packard (HP) || Hewlett-Packard Company || Oracle Corporation (2010) || [DEFERRED] || acquired by HP 2002","46"
"compaq-computer","years_active","1911-present","1911-1980 || 1911-present || 1982-2002 || 1982-2010 || [DEFERRED]","46"
"compaq-computer","notes","Canadian media theorist; quoted for 'the media is the message'; died 1980; referenced to frame WebEx's media-rich communications value proposition","## **Take the Best, Leave the Rest**   HP’s acquisition of Compaq Computer has significant ramifications for IT buyers. After the dust || **==> picture [82 x 80] intentionally omitted <==**  ## **Compaq Computer Corporation**   20555 SH 249 Houston, TX 77070-2698 (281) 3 || **==> picture [82 x 80] intentionally omitted <==**  ## **Compaq Computer Corporation**   P.O. Box 692000 Houston, TX 77269-2000 (800 || *Chapter Five**<br>**Supplier Profiles**|**43**| |---|---| |Compaq Computer Corporation|44| |Dell Computer Corporation|46| |Fujitsu Lim || ........................................................ 61 Compaq Computer Corporation ............................................... || AS/400 midrange systems featured in study; price-performance comparison with Digital VAX; TPC benchmark participant || Acquired by HP in 2002 for ~$25 billion; HP retained ProLiant server brand || Acquired by HP in May 2002 for $25 billion || Acquired for $25 billion; Michael Capellas CEO; Houston TX HQ || Canadian media theorist; quoted for 'the media is the message'; died 1980; referenced to frame WebEx's media-rich communications value proposition || Cited as exemplar OEM in EAS practice; Platform Infrastructure supplier; Platforms Group supplier || Cited for NT clustering with Tandem in 1996-1997 || DeskPro line certified by Linuxcare Labs || Diversified networking/server supplier; mentioned as commodity networking entrant. || Houston TX PC/server maker; acquired by HP May 2002 for $25B || Largest NT/Intel server supplier; $24.6B revenue; ProLiant server line; acquiring Digital. || Largest NT/Intel server supplier; acquired Tandem (1997) and Digital (1998); $24.6B revenue FY97. || Listed as major Linux contributor alongside HP and IBM || Listed as part of 'Tandem/Compaq' competitive entity following Tandem acquisition in 1997. || NT-server market leader 1999 || PC maker; acquired Tandem 1997, DEC 1998 || PC market leader; absorbed DEC 1998, then merged into HP || ProLiant 4000 servers shown in new-breed mainframe diagram || ProLiant 5000 4-way server achieved 6750 tpmC; acquired by HP in 2002 || Referenced for 24-processor UltraEnterprise 6000 benchmark of 31147 tpmC || Servernet faction || Subject of article; about to merge with HP || a; Caremark Rx; Chase Merchant Services, L.L.C.; CommWorks; Compaq Computer Ltd. (U.K.); Convergys; Credit Lyonnais Asset Management; D || of which includes Agilent, AMD, Intel, Novell, and Oracle.  Compaq Computer Corporation may become part of Hewlett-Packard Company pend || | |BEA Systems, Inc.|||||41| |Certicom Corporation|||||43| |Compaq Computer Corporation|||||45| |Datalink.net, Inc.|||||47| |eBay, Inc. || |Candle Corporation|||||64| ||CommerceQuest, Inc.|||||67| ||Compaq Computer Corporation|||||70| ||Computer Network Technology (CNT)||||","46"
"compaq-computer-corporation","entity_name","Compaq Computer Corporation","AON || Compaq Computer Corporation || DH Brown Associates || Oracle Corporation || SAP AG || Silicon Graphics Inc. || Western Digital","9"
"compaq-computer-corporation","entity_type","professional-services","Vendor || analyst-firm || company || organization || professional-services","9"
"compaq-computer-corporation","sector","Enterprise Computing","Database Software || Enterprise Computing || Enterprise Software || Personal Computing || computer-systems || insurance-consulting || market-research || technology","9"
"compaq-computer-corporation","status","acquired","acquired || active || bankrupt || defunct","9"
"compaq-computer-corporation","successor","Hewlett-Packard Company","Hewlett-Packard || Hewlett-Packard Company || Oracle || Rackable Systems || SAP","9"
"compaq-computer-corporation","years_active","1970-present","1970-present || 1972-present || 1977-present || 1982-2002 || 1982-2009 || 1982-present || 1990-2004","9"
"compaq-computer-corporation","notes","role=future-acquirer; status_note=Acquired Digital Equipment Corporation in 1998; itself acquired by HP in 2002.; hq_location=Houston, TX, USA","Acquired DEC in 1998; Compaq itself acquired by HP in 2002 || Acquired DEC in 1998; acquired by HP in 2002. || Filed Chapter 11 in 2009; assets acquired by Rackable Systems which renamed itself SGI || Oracle RDBMS libraries supported via DirectLink for Unix-to-NT migration || Referenced for September 1998 clustering white paper that rated HP's single-Unix-system availability as average. || Referenced in filename/webinar context; likely co-sponsor or distribution partner for this webinar || SAP ABAP/4 language supported by ETI•EXTRACT for SAP implementation data migrations || Western Digital Caviar drive used as example for data wiping time benchmarks || role=future-acquirer; status_note=Acquired Digital Equipment Corporation in 1998; itself acquired by HP in 2002.; hq_location=Houston, TX, USA","9"
"compusa","entity_type","corporation","company || corporation || firm","43"
"compusa","sector","Consumer Electronics Retail","Consumer Electronics Retail || PC-retail || computer-retail || consumer-electronics-retail || retail","43"
"compusa","status","dissolved","defunct || dissolved","43"
"compusa","successor","Gordon Brothers Group (liquidated 2007–2008); brand/16 stores sold to Systemax/TigerDirect","Gordon Brothers Group (liquidated 2007–2008); brand/16 stores sold to Systemax/TigerDirect || Liquidated 2007/2008; brand revived briefly under Systemax || Stores closed 2008; brand sold to Systemax then TigerDirect || Stores closed 2008; brand sold to Systemax/TigerDirect || Systemax || Systemax/TigerDirect || closed 2012","43"
"compusa","years_active","1984-2007","1984-2007 || 1984-2008 || 1984-2012","43"
"compusa","notes","........................................................ 35 CompUSA, Inc.: Building Community Fuels Analysis for Customer Insig","........................................................ 35 CompUSA, Inc.: Building Community Fuels Analysis for Customer Insig || Cited as major Itanium user implementation || DCT weekly retail tracker target. || From reuse cache. PC retail merchant in this study; sku listings: 107 || Named as major Itanium user in 2003 || PC superstore chain; quit own-brand PCs and added eMachines per 2002 article || Retail secondary target || Retailer covered in weekly commentary 2002-08-24 || Retailer covered in weekly commentary 2002-10-06 || Retailer covered in weekly commentary 2002-10-27 || Retailer covered in weekly commentary 2002-12-01 || Retailer covered in weekly commentary 2002-12-30 || Retailer covered in weekly commentary 2003-01-12 || Retailer covered in weekly commentary 2003-01-19 || Retailer covered in weekly commentary 2003-01-26 || Retailer covered in weekly commentary 2003-03-02 || Retailer covered in weekly commentary 2003-03-09 || Retailer covered in weekly commentary 2003-03-16 || Retailer covered in weekly commentary 2003-03-23 || Retailer covered in weekly commentary 2003-04-06 || Retailer covered in weekly commentary 2003-04-13 || Retailer covered in weekly commentary 2003-04-20 || Retailer covered in weekly commentary 2003-05-11 || Retailer covered in weekly commentary 2003-05-18 || Retailer covered in weekly commentary 2003-06-08 || Retailer covered in weekly commentary 2003-06-15 || Retailer covered in weekly commentary 2003-06-22 || Retailer covered in weekly commentary 2003-07-06 || Retailer covered in weekly commentary 2003-07-13 || Retailer covered in weekly commentary 2003-07-26 || Retailer covered in weekly commentary 2003-08-03 || Retailer covered in weekly commentary 2003-08-10 || Retailer covered in weekly commentary 2003-08-17 || Retailer covered in weekly commentary 2003-08-24 || US computer-specialty retail chain || eMachines shelf space || ely growth.”_   _- Analytics & Business Development Manager,CompUSA_   value they place in leveraging technology such as predic || harpens Reconciliation and Trims Travel Expenditures ....22 CompUSA Gets a Tight Grip on Its Collection Activities............. || like Best Buy and Circuit City), computer superstores (like CompUSA and Computer city), office superstores (like Office Max and || nd implementation at major users such as British Petroleum, CompUSA, and Proctor & Gamble.  Users of Xeon and Itanium also prim || reless networking secure. And any employee can walk down to CompUSA on Saturday and come back with a $90 wireless access point","43"
"compuserve","entity_name","CompuServe Corporation","CompuServe || CompuServe Corporation","3"
"compuserve","sector","online-information-services","internet-services || online-information-services","3"
"compuserve","successor","AOL (1998) -> partial assets to various","AOL (1998) || AOL (1998) -> partial assets to various || AOL / Time Warner","3"
"compuserve","years_active","1969-1998","1969-1998 || 1969-2009","3"
"compuserve","notes","Cited as large information services market prospect; acquired by H&R Block then spun off; acquired by AOL 1998","Cited as large information services market prospect; acquired by H&R Block then spun off; acquired by AOL 1998 || Network provider used by Interliant; acquired by H&R Block sold to WorldCom then AOL 1998 || World-class ISP using Infranet","3"
"computer-associates","entity_name","Computer Associates International (CA Inc.)","Computer Associates || Computer Associates (CA Technologies) || Computer Associates (CA) || Computer Associates Inc. || Computer Associates International || Computer Associates International (CA Inc.) || Computer Associates International (CA) || Computer Associates International Inc. || Computer Associates International, Inc.","58"
"computer-associates","entity_type","company","company || vendor","58"
"computer-associates","sector","enterprise-software-security","Enterprise Software || IT-security || Software || computing-industry || enterprise software || enterprise-software || enterprise-software-security || software || systems-management || systems-management-software","58"
"computer-associates","status","dissolved","acquired || active || dissolved || merged || rebranded || renamed","58"
"computer-associates","successor","Broadcom Inc. (November 2018); rebranded as CA Technologies then Broadcom Software","Broadcom || Broadcom (2018) || Broadcom Inc. (2018, as CA Technologies) || Broadcom Inc. (November 2018); rebranded as CA Technologies then Broadcom Software || Broadcom Inc. (acquired November 2018, renamed CA Technologies) || CA -> CA Technologies -> Broadcom (acquired 2018) || CA Technologies || CA Technologies (2006) || CA Technologies (2006) -> Broadcom (2018) || CA Technologies (2010), Broadcom (2018) || CA Technologies -> Broadcom || CA Technologies -> Broadcom (2018) || CA Technologies -> Broadcom (acquired 2018 for $18.9B) || CA Technologies -> Broadcom (acquired 2018) || CA Technologies / Broadcom || CA Technologies / Broadcom (2018) || CA Technologies/Broadcom || CA Technologies; acquired by Broadcom (2019) || Renamed CA Technologies (2006), then acquired by Broadcom (2018 for $18.9B) || unknown","58"
"computer-associates","years_active","1976-present","1976- || 1976-2006 || 1976-2018 || 1976-present","58"
"computer-associates","notes","Competitor in both ESM and governance/compliance; CA listed in both Table 2 columns (Governance & Compliance and Enterprise Systems Management); HP-Mercury acquisition distances HP from CA and BMC. | Source: Broadcom acquired CA Technologies (formerly Computer Associates) for $18.9 billion in November 2018. https://investors.broadcom.com/news-releases/news-release-details/broadcom-acquire-ca-technologies-189-billion-cash","**==> picture [82 x 80] intentionally omitted <==**  ## **Computer Associates International, Inc.**   www.ca.com One Computer Associates Plaza Islandia || Acquired PLATINUM technology in 1999 for $3.5B; DOJ required divestiture of 6 mainframe products; CA rebranded as CA Technologies; acquired by Broadcom in 2018 || Alliance for Enterprise Management with Digital; Unicenter management framework integrated with POLYCENTER || Assembled via multiple acquisitions || BOSS warehouse management system on AS/400; renamed CA Technologies then acquired by Broadcom 2019 || CA-Ingres weakness analysis || CA-Unicenter ICE (Internet Commerce Enabled) cited for enterprise-class internet systems management || CA-Unicenter TNG management framework referenced. || CA-Unicenter cited as nearest competitor to Sagister Operations Base || CFO Executive Exchange host. || CSS competitive landscape; dark horse || ChannelWave Software, Inc.|||||64| ||Clarify Inc.|||||66| ||Computer Associates International|||||69| ||Edify|||||71| ||eGain Communications Corporation| || Client || Client for the sales training. || Client; maker of Unicenter and Jasmine || Competitor in both ESM and governance/compliance; CA listed in both Table 2 columns (Governance & Compliance and Enterprise Systems Management); HP-Mercury acquisition distances HP from CA and BMC. | Source: Broadcom acquired CA Technologies (formerly Computer Associates) for $18.9 billion in November 2018. https://investors.broadcom.com/news-releases/news-release-details/broadcom-acquire-ca-technologies-189-billion-cash || Conference host. || DORS supplier profiled || Dual strategy: Ingres/DBMS (relational, mid-range Unix) + CA-Jasmine (pure object DBMS); Harmony initiative for integration; Ingres II product family || Enterprise security and systems management; acquired by Broadcom 2018 for $18.9B; rebranded as CA Technologies then Broadcom || Enterprise software vendor; Wang/Kumar leadership || Featured in Aberdeen field experience vs NY Times InSight May 2001 || Headquartered in Islandia NY; later rebranded CA Technologies; acquired by Broadcom Inc. for $18.9B in 2018; Islandia campus demolished 2024 || Hosted Unicenter Conference 1999; later rebranded CA Technologies || Interview respondent; 3rd-largest software company at time of study (Fortune). || Jasmine OO database; Opal legacy tool; Unicenter TNG; Harmony unification strategy planned for 1999 || Kastner spoke on behalf of CA and CA Ingres || Largest independent mainframe-oriented ISV; pricing model exemplifies harvesting trend || Letter recipient company. || Mainframe software and client-server portfolio vendor; referenced for revenue and CS/mainframe mix || Mentioned as alternative DB vendor || Mentioned as integration target vendor; rebranded CA Technologies 2010; acquired by Broadcom for $18.9B in November 2018; ~40% workforce cut post-acquisition || Mentioned in context slide: Computer Associates Madrid and New York events; Aberdeen Group client || Multiple profiles: ITRM, eTrust, BrightStor, interBiz/BizWorks; acquired by Broadcom 2018 for $18.9B || Named as CA-Ingres, RDBMS covered in training || Named by Kastner as an example of a later Aberdeen client where executives did go to jail for revenue recognition fraud, contrasted with Prime’s clean compliance record. || Parent of interBiz Solutions division. || Profiled as CRM vendor; acquired by Broadcom in 2018; now Broadcom CA || Proposal recipient/client || Proposal recipient; long-term Aberdeen client. || RDBMS competitor via CA-Ingres; systems management market; indirect Oracle applications rival; separately assessed in Kastner archive || Rebranded as CA Technologies; acquired by Broadcom 2018 || Recipient of the letter; enterprise software vendor in systems management and DBMS || Renamed CA Technologies; acquired by Broadcom in 2018 || Second largest software company behind Microsoft; $2.74B revenue; 22.2% net profit margin; database products: IDMS, Datacom, Ingres || Second largest software company; CA-Ingres || Software partnership with Snap Appliance || Software partnership with Snap Appliance. || Sponsor. || Storage management software; listed in vendor segment matrix and supplier abstract. || Subject of article; Islandia, NY-based enterprise software vendor || Subject of study; major enterprise software and security vendor || Subject of study; major enterprise software vendor; acquired by Broadcom in 2018 || Training client || Training host. || Unicenter TNG framework; co-leader of Framework camp with Tivoli; supplier abstract included. || Unicenter TNG vendor || role=ecosystem; status_note=Computer Associates rebranded as CA Technologies; subsequently acquired by Broadcom in 2018; hq_country=US; parent_entity=Broadcom","58"
"computer-associates-ca","entity_name","Computer Associates International, Inc. (CA)","Computer Associates (CA) || Computer Associates International, Inc. (CA)","2"
"computer-associates-ca","entity_type","company","company || firm","2"
"computer-associates-ca","sector","Enterprise Software","Enterprise Software || enterprise-software","2"
"computer-associates-ca","status","[DEFERRED]","[DEFERRED] || acquired","2"
"computer-associates-ca","successor","CA Technologies (2010 brand) -> Broadcom (2018, $18.9B)","CA Technologies (2010 brand) -> Broadcom (2018, $18.9B) || [DEFERRED]","2"
"computer-associates-ca","years_active","[DEFERRED]","1976-2018 || [DEFERRED]","2"
"computer-associates-ca","notes","Islandia, NY 11749 (631) 342-6000   ## **Company Facts**   Computer Associates (CA) is one of the largest software suppliers, with 16,000 emplo","Islandia, NY 11749 (631) 342-6000   ## **Company Facts**   Computer Associates (CA) is one of the largest software suppliers, with 16,000 emplo || Subject of proxy fight; Wang/Kumar incumbent leadership","2"
"computer-associates-international","entity_name","Computer Associates International, Inc. (CA)","Computer Associates International || Computer Associates International, Inc. (CA) || MicroStrategy Inc.","4"
"computer-associates-international","entity_type","software-vendor","company || software-vendor || vendor","4"
"computer-associates-international","sector","business-intelligence","business-intelligence || enterprise-software || systems-software","4"
"computer-associates-international","status","active-renamed","acquired || active || active-renamed || renamed","4"
"computer-associates-international","successor","CA Inc. (2006) -> CA Technologies (2010) -> Broadcom acquired 2018","CA Inc. (2006) -> CA Technologies (2010) -> Broadcom acquired 2018 || CA Technologies -> Broadcom (2018) || CA Technologies / Broadcom","4"
"computer-associates-international","years_active","1976–present","1976-2018 || 1976–present || 1989-present","4"
"computer-associates-international","notes","Founded 1976 by Charles B. Wang; third-largest independent software company by 1997; revenues $4B+ with Unicenter at ~$1B run rate. Renamed CA Inc. (2006) then CA Technologies (2010). Acquired by Broadcom Inc. for $18.9B in 2018.","Cited in EAS as exemplar ISV; in Platform Infrastructure as supplier covered (BMC competitor in systems management) || Commissioning client for this training deck; publisher of CA-Ingres. Rebranded to CA Technologies in 2006; acquired by Broadcom in 2018. || Founded 1976 by Charles B. Wang; third-largest independent software company by 1997; revenues $4B+ with Unicenter at ~$1B run rate. Renamed CA Inc. (2006) then CA Technologies (2010). Acquired by Broadcom Inc. for $18.9B in 2018. || Identified as leading Relational OLAP pioneer; partnered with Informix; still active as public company (MSTR)","4"
"computer-consoles-inc","entity_name","Computer Consoles, Inc. (CCI)","Computer Consoles Inc. || Computer Consoles, Inc. (CCI)","2"
"computer-consoles-inc","sector","fault-tolerant-computing","Technology || fault-tolerant-computing","2"
"computer-consoles-inc","status","dissolved","acquired || dissolved","2"
"computer-consoles-inc","successor","Acquired by SCI Systems 1989","Acquired by SCI Systems 1989 || STC -> Storage Technology","2"
"computer-consoles-inc","years_active","1970s-1990s","1969-1989 || 1970s-1990s","2"
"computer-consoles-inc","notes","Plaintiff in Computer Consoles vs. GTE Government Systems; planned RISC-Unix computer","FT/OLTP supplier, $67M / 9.4% segment share 1984 || Plaintiff in Computer Consoles vs. GTE Government Systems; planned RISC-Unix computer","2"
"computer-sciences-corp","entity_name","Computer Sciences Corporation (CSC)","Computer Sciences Corp. (CSC) || Computer Sciences Corporation (CSC)","3"
"computer-sciences-corp","sector","IT Services","IT Services || IT-services","3"
"computer-sciences-corp","status","renamed","active || merged || renamed","3"
"computer-sciences-corp","years_active","1959-present","1959-2017 || 1959-present","3"
"computer-sciences-corp","notes","CSC's NT strategy and competitive positioning profiled; merged with HP Enterprise Services to form DXC 2017","$5.6B revenue FY97; 44000 employees; CA attempted hostile takeover. || CSC's NT strategy and competitive positioning profiled; merged with HP Enterprise Services to form DXC 2017 || Professional services firm; supplier abstract included.","3"
"computer-sciences-corporation","entity_name","Computer Sciences Corporation (CSC)","Computer Sciences Corporation || Computer Sciences Corporation (CSC)","3"
"computer-sciences-corporation","sector","IT Professional Services","IT Professional Services || IT-services || it-services","3"
"computer-sciences-corporation","status","unknown","merged || unknown","3"
"computer-sciences-corporation","successor","DXC Technology (2017)","DXC Technology (2017) || unknown","3"
"computer-sciences-corporation","years_active","1959-present","1959-2017 || 1959-present","3"
"computer-sciences-corporation","notes","44,000 employees; 600 offices; El Segundo CA; SAP and Oracle only; defeated hostile takeover by Computer Associates","44,000 employees; 600 offices; El Segundo CA; SAP and Oracle only; defeated hostile takeover by Computer Associates || Cited in EAS practice definition as exemplar IPSP || Southfield MI; CSC Healthcare division; professional services and systems integration.","3"
"computerworld","entity_name","Computerworld (IDG)","Computerworld || Computerworld (IDG) || Computerworld (US)","20"
"computerworld","entity_type","institution","company || firm || institution || publication","20"
"computerworld","sector","Technology Media / Publishing","IT-trade-press || Technology Media || Technology Media / Publishing || tech-media || technology-media || trade-press","20"
"computerworld","status","renamed","active || renamed","20"
"computerworld","successor","Part of IDG/Foundry (IDG acquired by Blackstone 2017; digital brand continues under Foundry/IDG Communications)","IDG || Part of IDG/Foundry || Part of IDG/Foundry (IDG acquired by Blackstone 2017; digital brand continues under Foundry/IDG Communications) || acquired IDG Inc. -> Blackstone 2017 -> Foundry","20"
"computerworld","notes","-ASP. He is frequently quoted in _CRMDaily.com, Line56.com, ComputerWorld, Executive Technology, InformationWeek_ , and _The Wall Str","-ASP. He is frequently quoted in _CRMDaily.com, Line56.com, ComputerWorld, Executive Technology, InformationWeek_ , and _The Wall Str || ASP.  He is frequently quoted in CRMDaily.com, Line56.com, _ComputerWorld_ , _Executive Technology_ , _InformationWeek_ , and _The Wa || Cited by IBM: ""majority of data in the world is on mainframes"" || Computerworld benchmark cited as validation of Sapiens competitive win in application development productivity || His experience includes seniorlevel editorial positions at _Computerworld_ and _Cutter Consortium_ .   ## **Sudy Bharadwaj, Vice Pres || His experience includes seniorlevel editorial positions at _Computerworld_ and _Cutter Consortium_ .   ## **Vishal Patel Research Ana || His experience includes seniorlevel editorial positions at _Computerworld_ and _Cutter Consortium_ .   All print and electronic right || Implied trade weekly context (noon Thursday deadline pattern). Reused from cache. || Major IT weekly; 1997 Y2K Solutions Series Custom Publication || Major IT weekly; ran 1987 XA2000 + 2002 Itanium-vs-Sun pieces || Publication carrying the Stratus/32 launch advertisement || Publication venue for this ILM advisory article || Publisher of 1987 fault-tolerant prescience article || Publisher of primary IDG News Service version || Publishing outlet for this advisory column; major IT trade publication owned by IDG. || Source of August 20 1984 price/performance benchmark cited || for ILM?**_   _Advice by Peter S. Kastner_   JULY 29, 2004 (COMPUTERWORLD) – Information life cycle management (ILM) is the policy-dr || latest version, primarily as a database server — IBM quotes Computerworld as stating that “the majority of data [in the world is] on || solutions.  He is regularly quoted in publications such as _Computerworld, Investor’s Business Daily,_ and _Wireless NewsFactor._   #","20"
"compuware","entity_name","Compuware Corporation","Compuware || Compuware Corporation","9"
"compuware","sector","software-testing-and-development-tools","Enterprise Software / APM || enterprise-software || software-quality-assurance || software-testing-and-development-tools","9"
"compuware","status","acquired","acquired || active","9"
"compuware","successor","Thoma Bravo (2014); Dynatrace spun off as separate public company","BMC Software (2020) || Thoma Bravo (2014); Dynatrace spun off as separate public company","9"
"compuware","years_active","1973-present","1973-2020 || 1973-present","9"
"compuware","notes","HQ Farmington Hills MI; revenues >$600M FY1996; NASDAQ: CPWR; taken private by Thoma Bravo 2014 for $2.4B; acquired by BMC 2020 for $2B; products absorbed into BMC AMI","Competitor in QA tools market; EcoScope product line || HQ Farmington Hills MI; revenues >$600M FY1996; NASDAQ: CPWR; taken private by Thoma Bravo 2014 for $2.4B; acquired by BMC 2020 for $2B; products absorbed into BMC AMI || Listed as competitor in governance and compliance. || Named in Governance & Compliance competitor column. || UNIFACE cross-platform component ADE; NuMega acquisition for Windows debugging; Year 2000 remediation tools || ation|||||70| ||Computer Network Technology (CNT)|||||73| ||Compuware Corporation|||||75| ||Constellar Corporation|||||79| ||CrossWorlds Soft || ion of Distributed Resources|Bishop, Hugh|Profile|| |Dec-95|Compuware Corporation -- UNIFACE Development Environment|Moser, Karen|Profile|| | || ment Environments........................................60 Compuware Corporation............................................................","9"
"comshare","notes","--|---| |Allegis|Viewsonic| |Annuncio|DellComputer| |Applix|Comshare| |Azerity|Quicklogic| |eAssist|British Telecom| |FirePond|B","--|---| |Allegis|Viewsonic| |Annuncio|DellComputer| |Applix|Comshare| |Azerity|Quicklogic| |eAssist|British Telecom| |FirePond|B || Financial analysis budgeting planning and management reporting using third-party multidimensional databases","2"
"concentric-network","sector","internet-services","internet-services || managed-services","2"
"concentric-network","status","dissolved","dissolved || unknown","2"
"concentric-network","successor","NextLink -> XO Communications","NextLink -> XO Communications || unknown","2"
"concentric-network","notes","IP-based VPN specialist; ATM backbone with 16 SuperPOPs","IP-based VPN specialist; ATM backbone with 16 SuperPOPs || ISP and managed network provider; profiled in report","2"
"conexant","sector","Semiconductors","Semiconductors || semiconductor || semiconductors","4"
"conexant","status","acquired-by-synaptics-2017","acquired || acquired-by-synaptics-2017","4"
"conexant","successor","Synaptics (acquired July 2017)","Synaptics || Synaptics (acquired July 2017)","4"
"conexant","years_active","1999-present","1999-2017 || 1999-present","4"
"conexant","notes","3| |Cisco Systems, Inc.|||||36| |Coactive Networks|||||38| |Conexant Systems, Inc.|||||41| |Cypress Semiconductor Corporation|||||43| |D","3| |Cisco Systems, Inc.|||||36| |Coactive Networks|||||38| |Conexant Systems, Inc.|||||41| |Cypress Semiconductor Corporation|||||43| |D || Cited as maintaining applications-engineer teams in the region. || Named as semiconductor firm maintaining applications engineers in Asia-Pacific region","4"
"connect-inc","sector","Internet Software / e-Commerce","B2B-ecommerce || Internet Software / e-Commerce","2"
"connect-inc","status","acquired","acquired || unknown","2"
"connect-inc","successor","Harbinger (1998)","Harbinger (1998) || unknown","2"
"connect-inc","years_active","1993-2000s","1987-1998 || 1993-2000s","2"
"connect-inc","notes","Order Management and Purchasing Management applications; Java/Netscape Enterprise Server/Oracle architecture; B2B EC solutions; Mountain View CA","EDI/EC software; acquired by Harbinger Corporation || Order Management and Purchasing Management applications; Java/Netscape Enterprise Server/Oracle architecture; B2B EC solutions; Mountain View CA","2"
"continental-forest-industries","sector","manufacturing/paper","manufacturing/paper || paper-manufacturing","3"
"continental-forest-industries","years_active","1960s-1990s","1960s-1990s || [DEFERRED]","3"
"continental-forest-industries","notes","wspaper insert nationwide   - Kraft paper manufacturing for Continental Forest Industries: trees to cardboard at thousands of feet per second.   Houg","Paper mill client; inventory-control system for 2,000-lb kraft paper rolls. || Paper mill project; buffer management of 2000-pound rolls at lethal speeds || wspaper insert nationwide   - Kraft paper manufacturing for Continental Forest Industries: trees to cardboard at thousands of feet per second.   Houg","3"
"convergys","notes","t Services, L.L.C.; CommWorks; Compaq Computer Ltd. (U.K.); Convergys; Credit Lyonnais Asset Management; Deutsche Asset; GE Medic","CRM/customer care outsourcing; 10-year alliance with Siebel announced July 2001 || t Services, L.L.C.; CommWorks; Compaq Computer Ltd. (U.K.); Convergys; Credit Lyonnais Asset Management; Deutsche Asset; GE Medic","2"
"cooperative-solutions","years_active","1988-1996","1988-1996 || 1989-1997","2"
"cooperative-solutions","notes","Ellipse product; integrated client-server development for complex transaction processing","Ellipse product; integrated client-server development for complex transaction processing || Middleware for distributed client-server applications; listed among leaders","2"
"coopers-lybrand","entity_type","company","company || firm","4"
"coopers-lybrand","sector","Accounting / Consulting","Accounting / Consulting || IT-consulting || accounting-consulting","4"
"coopers-lybrand","status","unknown","merged || unknown","4"
"coopers-lybrand","successor","PricewaterhouseCoopers (1998)","PricewaterhouseCoopers (1998) || unknown","4"
"coopers-lybrand","years_active","1854-1998","1854-1998 || 1957-1998","4"
"coopers-lybrand","notes","lpha is Ready|Sloane, Tim|Technology<br>Viewpoint|| |Jun-96|Coopers & Lybrand:  SAP America Global Logo Partner|Irving, Susan|Profile|| |","$7.5B revenue 1998; Big Six; SAP Global Logo Partner; pending merger with Price Waterhouse; SUMMIT-D methodology; New York NY || $7.7B revenue FY97; merging with Price Waterhouse to form PwC. || Merged with Price Waterhouse to form PricewaterhouseCoopers July 1998 — same year as this report || lpha is Ready|Sloane, Tim|Technology<br>Viewpoint|| |Jun-96|Coopers & Lybrand:  SAP America Global Logo Partner|Irving, Susan|Profile|| |","4"
"corel-corporation","entity_name","Corel Corporation","Constellar Corporation || Corel Corporation || EMC || IBM || Silicon Graphics Inc. || Tandem Computers || Thinking Machines Corporation || Trusted Computing Group || U.S. Environmental Protection Agency","10"
"corel-corporation","entity_type","information-technology","Vendor || company || consortium || corporation || government-agency || information-technology","10"
"corel-corporation","sector","Enterprise Computing","Data Integration || Desktop Software || Enterprise Computing || Supercomputing || enterprise-IT || government || software || standards || technology;storage","10"
"corel-corporation","status","acquired","acquired || active || bankrupt","10"
"corel-corporation","successor","Dell EMC (Dell Technologies)","Compaq || Corel || Corel/Cascade/Alludo || Dell EMC (Dell Technologies) || IBM || Oracle (assets) || Rackable Systems","10"
"corel-corporation","years_active","1911-present","1911-present || 1970-present || 1974-1997 || 1979-2016 || 1982-2009 || 1983-1994 || 1985-present || 1993-1998 || 2003-present","10"
"corel-corporation","notes","Filed Chapter 11 August 1994; CM-5 massively parallel computing technology assets sold; Oracle acquired some IP","Acquired by Compaq in 1997; NonStop systems eventually moved to HP after HP-Compaq merger || Corel desktop applications mentioned as LinkWorks integration target || Data integration software; acquired by IBM in 1998 as part of IBM's data warehousing push || Filed Chapter 11 August 1994; CM-5 massively parallel computing technology assets sold; Oracle acquired some IP || Graphics/office software vendor || Industry consortium for trusted computing standards; Aberdeen in NDA discussions with members || Major SOA platform vendor; active in enterprise middleware and integration technology market during this period || Mentioned as a key relationship partner for HP's end-to-end HA strategy. Acquired by Dell in 2016. || Referenced for EPA guidelines on e-waste recycling compliance || SGI workstations ($100K+) replaced by NT workstations (<$10K) per NuTCRACKER user case studies","10"
"cornell-university","sector","higher education","higher education || higher-education","8"
"cornell-university","years_active","1865-present","1865-present || 1965-1968 || [DEFERRED]","8"
