"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","collection","notes"
"spoke-node-ring","Spoke-Node-Ring (S-N-R) Planning Model","architecture-framework","Aberdeen Group","1990-1995","active-Aberdeen-framework","conceptually-superseded-by-cloud-edge","aberdeen-customer-driven-info-systems-at-2f9724","kastner-author","Continued from 1991 Multitrak deck (Study 6)"
"spoke-node-ring","Spoke-Node-Ring (S-N-R) Planning Model","architecture-framework","Aberdeen Group","1990-1995","active-Aberdeen-framework","conceptually-superseded-by-cloud-edge","aberdeen-dops-distributed-open-prod-syst-cbae77","kastner-author","Continued from 1991 Multitrak deck (Study 6)"
"downsizing-it-strategy","IT Downsizing","strategy-pattern","Industry / Aberdeen-popularized","1989-1995","active-strategy-trend","absorbed-into-server-consolidation-then-cloud","aberdeen-dops-distributed-open-prod-syst-cbae77","kastner-author","Same Kastner downsizing definition as Study 6"
"dops-distributed-open-prod","Distributed Open Production Systems (DOPS)","architecture-framework","Aberdeen Group","1992-1996","active-Aberdeen-framework","absorbed-into-cloud-native-microservices","aberdeen-dops-distributed-open-prod-syst-cbae77","kastner-author","Aberdeen-coined umbrella for distributed/open/production-quality systems"
"encina-tp-monitor","Transarc Encina TP Monitor","TP-monitor","Transarc / IBM after 1994","1991-1999","active-product","merged-into-IBM-TXSeries-then-discontinued","aberdeen-dops-distributed-open-prod-syst-cbae77","kastner-author","Distributed transaction coordinator built on DCE; pivotal in DOPS deck"
"osf-dce","OSF Distributed Computing Environment (DCE)","distributed-systems-runtime","OSF/Open Group","1990-2005","active-product","discontinued-conceptually-superseded-by-grpc-rest","aberdeen-dops-distributed-open-prod-syst-cbae77","kastner-author","RPC + directory + security + threading framework; foundation of Encina"
"ibm-drda","IBM DRDA (Distributed Relational Database Architecture)","database-interoperability","IBM Corporation","1988-present","active-standard","still-shipping-on-Db2","aberdeen-dops-distributed-open-prod-syst-cbae77","kastner-author","IBM's distributed relational protocol; deck shows DRDA on S/390"
"ibm-cics","IBM CICS","TP-monitor","IBM Corporation","1968-present","industry-standard","still-shipping","aberdeen-dops-distributed-open-prod-syst-cbae77","kastner-author","IBM mainframe TP monitor; deck shows CICS/DCE on S/390"
"hp-allbase","HP Allbase/SQL","relational-DBMS","Hewlett-Packard","1984-2000s","active-product","discontinued","aberdeen-dops-distributed-open-prod-syst-cbae77","kastner-author","HP's relational DBMS; deck shows on HP 9000 MRP node"
"intelligent-applications","Intelligent Applications","design-pattern","Aberdeen Group","1993-1996","active-strategy-trend","evolved-into-serverless-and-managed-services","aberdeen-dops-distributed-open-prod-syst-cbae77","kastner-author","Kastner: apps that 'hide the complexities' of comm, data, location"
"two-phase-commit","Two-Phase Commit (2PC)","distributed-transaction-protocol","Industry / X-Open","1979-present","industry-standard-X-Open-XA-since-1991","still-relevant","aberdeen-dops-distributed-open-prod-syst-cbae77","kastner-author","By 1993 X/Open XA had standardized 2PC — Encina/DCE the implementation"
"dops","DOPS — Distributed Online Processing Systems (Aberdeen framework)","framework","Aberdeen Group","1992-1998","emerging","legacy","aberdeen-dops-tpc-1992-deck-bbe78e","kastner-author","Kastner's Aberdeen framework for distributed OLTP with multiple DBs/networks/heterogeneous HW"
"tpc-a","TPC-A benchmark","framework","TPC","1989-1995","production","obsolete","aberdeen-dops-tpc-1992-deck-bbe78e","kastner-author","Relational-DB DebitCredit-style benchmark"
"tpc-b","TPC-B benchmark","framework","TPC","1990-1995","production","obsolete","aberdeen-dops-tpc-1992-deck-bbe78e","kastner-author","Database-stress companion to TPC-A"
"vax-8830","DEC VAX 8830","platform","Digital Equipment","1988-1993","production","obsolete","aberdeen-dops-tpc-1992-deck-bbe78e","kastner-author","1988 best-performance reference in Aberdeen deck: 27 tps at $1,800K"
"vax-3100-80","DEC VAX 3100-80","platform","Digital Equipment","1992-1995","launch","obsolete","aberdeen-dops-tpc-1992-deck-bbe78e","kastner-author","1992 entry-level: 27 tps at $280K"
"vax-4000-300","DEC VAX 4000-300","platform","Digital Equipment","1991-1995","production","obsolete","aberdeen-dops-tpc-1992-deck-bbe78e","kastner-author","~$620K TPC-A at 40 tps"
"ibm-as400-d70","IBM AS/400 D70","platform","IBM","1991-1994","production","obsolete","aberdeen-dops-tpc-1992-deck-bbe78e","kastner-author","~$920K TPC-A at 40 tps — highest 5-yr TCO"
"ibm-rs6000-530h","IBM RS/6000 530H","platform","IBM","1991-1994","production","obsolete","aberdeen-dops-tpc-1992-deck-bbe78e","kastner-author","~$620K TPC-A at 40 tps"
"hp-9000-957lx","HP 9000 957LX","platform","Hewlett-Packard","1991-1993","production","obsolete","aberdeen-dops-tpc-1992-deck-bbe78e","kastner-author","49 tps TPC-A at ~$680K (starred in chart)"
"bull-dpx-2","Bull DPX/2","platform","Bull","1990-1994","production","obsolete","aberdeen-dops-tpc-1992-deck-bbe78e","kastner-author","Lowest-cost TPC-A at 40 tps-A: ~$450K"
"olds","OLDS — Online Decision Support","framework","industry","1990s","emerging","legacy","aberdeen-dops-tpc-1992-deck-bbe78e","kastner-author","Companion to OLTP in DOPS mixed-workload environments"
"runamuck-db","Runamuck database category","framework","Aberdeen Group","1990s","emerging","obsolete","aberdeen-dops-tpc-1992-deck-bbe78e","kastner-author","Kastner's informal DB category alongside Production/Snapshot/Test"
"intel-pentium-ii","Intel Pentium II","platform","Intel","1997-2003","emerging","retired","aberdeen-impact-desktop-pc-sirens-1998-14b40c","kastner-author","233-450 MHz range cited"
"intel-celeron","Intel Celeron","platform","Intel","1998-present","emerging","legacy-supported","aberdeen-impact-desktop-pc-sirens-1998-14b40c","kastner-author","Named as what NOT to buy for corporate desktop"
"windows-95","Windows 95 OSR2","platform","Microsoft","1995-2001","mature","retired","aberdeen-impact-desktop-pc-sirens-1998-14b40c","kastner-author",""
"windows-98","Windows 98","platform","Microsoft","1998-2006","emerging","retired","aberdeen-impact-desktop-pc-sirens-1998-14b40c","kastner-author",""
"windows-nt5","Windows NT 5.0 / Windows 2000","platform","Microsoft","2000-2010","emerging","retired","aberdeen-impact-desktop-pc-sirens-1998-14b40c","kastner-author","Kastner's target OS"
"ms-office-97","Microsoft Office 97","application","Microsoft","1997-2003","mature","retired","aberdeen-impact-desktop-pc-sirens-1998-14b40c","kastner-author",""
"ms-office-2000","Microsoft Office 2000","application","Microsoft","1999-2004","emerging","retired","aberdeen-impact-desktop-pc-sirens-1998-14b40c","kastner-author",""
"ie-4","Internet Explorer 4.0","application","Microsoft","1997-2001","mature","retired","aberdeen-impact-desktop-pc-sirens-1998-14b40c","kastner-author",""
"ie-5","Internet Explorer 5.0","application","Microsoft","1999-2003","emerging","retired","aberdeen-impact-desktop-pc-sirens-1998-14b40c","kastner-author",""
"outlook-98","Microsoft Outlook 98","application","Microsoft","1998-2001","emerging","retired","aberdeen-impact-desktop-pc-sirens-1998-14b40c","kastner-author",""
"snmp","SNMP","protocol","IETF","1988-present","mature","mature","aberdeen-impact-desktop-pc-sirens-1998-14b40c","kastner-author","Systems management agent"
"tcpip","TCP/IP","protocol","IETF","1974-present","mature","mature","aberdeen-impact-desktop-pc-sirens-1998-14b40c","kastner-author",""
"netbeui","NetBEUI","protocol","Microsoft/IBM","1985-2007","mature","retired","aberdeen-impact-desktop-pc-sirens-1998-14b40c","kastner-author",""
"intel-pentium-4","Intel Pentium 4","platform","Intel","2000-2008","mature","retired","aberdeen-impact-desktop-pc-sirens-1998-14b40c","kastner-author",""
"mainframe-computing","Mainframe Computing","computing-paradigm","IBM/Amdahl/Hitachi","1960s-present","incumbent","shrinking-but-extant","aberdeen-managing-is-amidst-it-chaos-lan-05ea75","kastner-author","Subject of seminar; new mainframes flagged as poor long-term investment"
"client-server-computing","Client/Server Computing","computing-paradigm","multi-vendor","1990s","rising","matured-and-superseded-by-cloud","aberdeen-managing-is-amidst-it-chaos-lan-05ea75","kastner-author","Highlighted as key downsizing target architecture"
"symmetric-multiprocessing","Symmetric Multiprocessing (SMP)","system-architecture","DEC/HP/Sun/IBM","1990s","mainstream-rising","ubiquitous","aberdeen-managing-is-amidst-it-chaos-lan-05ea75","kastner-author","Brokerage/enterprise SMP buying noted in 1992 Large Broker PC Purchases slide"
"downsizing","Downsizing/Rightsizing","IT-strategy","industry-trend","1990s","rising","evolved-into-cloud-migration","aberdeen-managing-is-amidst-it-chaos-lan-05ea75","kastner-author","Title concept; six-strategy framework cataloged"
"outsourcing","IT Outsourcing","IT-strategy","EDS/IBM/Andersen/CSC","1990s-2000s","rising","matured","aberdeen-managing-is-amidst-it-chaos-lan-05ea75","kastner-author","Listed as one of six mainframe-alternative strategies"
"object-technology","Object Technology / OOP","software-paradigm","industry","1990s","emerging","matured-mainstream","aberdeen-managing-is-amidst-it-chaos-lan-05ea75","kastner-author","Flagged as 3-5-year requirement in deck"
"graphical-user-interface","Graphical User Interface (GUI)","user-interface","Windows/Mac/Motif","1990s","rising","ubiquitous","aberdeen-managing-is-amidst-it-chaos-lan-05ea75","kastner-author","Mainframe apps lacked GUI vs client-server"
"spoke-node-ring","Spoke-Node-Ring (S-N-R) Planning Model","architecture-framework","Aberdeen Group","1990-1995","active-Aberdeen-framework","conceptually-superseded-by-cloud-edge","aberdeen-multitrak-headlines-context-kas-f941d1","kastner-author","Kastner/Aberdeen distributed-systems planning framework"
"downsizing-it-strategy","IT Downsizing","strategy-pattern","Industry / Aberdeen-popularized","1989-1995","active-strategy-trend","absorbed-into-server-consolidation-then-cloud","aberdeen-multitrak-headlines-context-kas-f941d1","kastner-author","Migration of computer functions from central mainframe to dispersed systems"
"cooperative-processing","Cooperative Processing (Client-Server)","distribution-model","Industry","1988-1996","active-strategy-trend","evolved-into-three-tier-then-microservices","aberdeen-multitrak-headlines-context-kas-f941d1","kastner-author","Client/server processing model; presented in 4 IBM-defined variants"
"ibm-as400","IBM AS/400","midrange-computer","IBM Corporation","1988-2000","production-shipping","renamed-iSeries-then-Power-Systems-IBM-i","aberdeen-multitrak-headlines-context-kas-f941d1","kastner-author","IBM midrange platform; deck shows S/370+AS/400 'Two Tier - Two Mainframes'"
"ibm-osf-2","IBM OS/2 Extended Edition","operating-system","IBM Corporation","1987-2001","production-shipping","discontinued","aberdeen-multitrak-headlines-context-kas-f941d1","kastner-author","Deck identifies OS/2 R2 as IBM's cooperative-processing direction"
"ibm-cics","IBM CICS","TP-monitor","IBM Corporation","1968-present","industry-standard","still-shipping","aberdeen-multitrak-headlines-context-kas-f941d1","kastner-author","IBM mainframe TP monitor; targets of cooperative-processing flows"
"ibm-db2","IBM DB2","relational-DBMS","IBM Corporation","1983-present","industry-standard","still-shipping","aberdeen-multitrak-headlines-context-kas-f941d1","kastner-author","IBM relational database; back-end for cooperative-processing"
"ibm-saa","IBM SAA (Systems Application Architecture)","architecture-framework","IBM Corporation","1987-1996","vendor-strategy","abandoned","aberdeen-multitrak-headlines-context-kas-f941d1","kastner-author","IBM cross-platform architecture vision; Kastner cites as 'circa 1994'"
"ibm-ad-cycle","IBM AD/Cycle","CASE-platform","IBM Corporation","1989-1995","vendor-strategy","abandoned","aberdeen-multitrak-headlines-context-kas-f941d1","kastner-author","IBM Application Development Cycle vision; deck shows life-cycle diagram"
"case-tools","CASE (Computer-Aided Software Engineering)","development-methodology","Industry","1985-1995","active-strategy-trend","evolved-into-IDEs-and-DevOps","aberdeen-multitrak-headlines-context-kas-f941d1","kastner-author","1990 IT in-word per Kastner; promised 4GL productivity"
"ibm-ps2","IBM PS/2","personal-computer","IBM Corporation","1987-1995","production-shipping","discontinued","aberdeen-multitrak-headlines-context-kas-f941d1","kastner-author","IBM's MicroChannel-based PC line; Kastner positioned as CASE workstation"
"open-oltp","Open Online Transaction Processing (Open OLTP)","computing-paradigm","industry","1990s-2000s","emerging","matured-into-XA-and-cloud-microservices","aberdeen-open-oltp-enterprise-managers-k-3fc536","kastner-author","Subject of paper; defined as real-time business-state-changing mechanism using industry standards"
"oltp-traditional","Traditional OLTP (proprietary)","computing-paradigm","IBM-CICS/Tandem/Stratus","1970s-1990s","incumbent","legacy-mostly-displaced","aberdeen-open-oltp-enterprise-managers-k-3fc536","kastner-author","Central CPU + dumb terminals + proprietary TP architecture; per paper, leading 1991 technology"
"client-server-computing","Client-Server Computing","architecture","Multiple","1988-2005","emerging-rising","legacy","aberdeen-open-oltp-enterprise-managers-k-3fc536","kastner-author","Cited as one of three pillars of Open OLTP combined-best-of-breed thesis"
"relational-database","Relational Database Management Systems (RDBMS)","database","Oracle/Informix/Sybase/IBM-DB2","1980s-present","mature","active","aberdeen-open-oltp-enterprise-managers-k-3fc536","kastner-author","Cited as required component; up to 5x cheaper per transaction than mainframes per Aberdeen"
"x-open-dtp","X/Open Distributed Transaction Processing (DTP)","protocol","X/Open","1990-2000","emerging","superseded-by-XA-and-WS-AT","aberdeen-open-oltp-enterprise-managers-k-3fc536","kastner-author","X/Open Transaction Processing Working Group standards; precursor to XA"
"acid-properties","ACID Properties (Atomicity, Consistency, Isolation, Durability)","database-theory","industry","1981-present","mature","active","aberdeen-open-oltp-enterprise-managers-k-3fc536","kastner-author","Paper specifies all four ACID components as Open OLTP system requirements"
"posix-1003","POSIX (IEEE 1003)","operating-system-standard","IEEE","1988-present","mature","active","aberdeen-open-oltp-enterprise-managers-k-3fc536","kastner-author","Cited as commercial OS portability standard for Open OLTP platforms"
"sql-standard","SQL (Structured Query Language) Standard","database-language","ANSI/ISO","1986-present","mature","active","aberdeen-open-oltp-enterprise-managers-k-3fc536","kastner-author","Per SQL Access Group consortium; required for relational database interoperability"
"osf-dce","OSF Distributed Computing Environment (DCE)","middleware","Open Software Foundation","1990-late-1990s","emerging","obsolete","aberdeen-open-oltp-enterprise-managers-k-3fc536","kastner-author","Cited as inter-heterogeneous-computer data communication highway system"
"unix-intl-atlas","Unix International ATLAS Architecture","architecture","Unix International","1991-1993","emerging","obsolete","aberdeen-open-oltp-enterprise-managers-k-3fc536","kastner-author","Distributed open-computing architecture with TP-monitor provisions"
"downsizing","Downsizing/Rightsizing","IT-strategy","industry-trend","1990s","rising","evolved-into-cloud-migration","aberdeen-open-oltp-enterprise-managers-k-3fc536","kastner-author","Cited as advantage motivating Open OLTP adoption"
"tp-monitor","Transaction Processing Monitor","system-software","industry","1970s-present","mature","active","aberdeen-open-oltp-enterprise-managers-k-3fc536","kastner-author","TUXEDO/Encina/CICS-class software providing services to OLTP applications"
"open-online-transaction-processing","Open Online Transaction Processing","computing-paradigm","industry","1990s","rising","evolved","aberdeen-open-online-transaction-process-ea272f","kastner-author","Subject of paper; UNIX-based open TP"
"top-end","TOP END (NCR)","TP-monitor","NCR","1990s","active-funder-product","discontinued","aberdeen-open-online-transaction-process-ea272f","kastner-author","NCR's open-systems TP monitor; subject of cited Product Overview"
"encina","Encina (Transarc)","TP-monitor","Transarc/IBM","1990s","rising","discontinued","aberdeen-open-online-transaction-process-ea272f","kastner-author","Transarc Encina TP monitor; CMU spinout, acquired by IBM 1994"
"tuxedo","TUXEDO ETP System (USL)","TP-monitor","USL/AT&T","1980s-2000s","mainstream","BEA->Oracle Tuxedo (still shipping)","aberdeen-open-online-transaction-process-ea272f","kastner-author","TUXEDO Release 4.2 reference manual cited"
"unix-svr4","UNIX System V Release 4","operating-system","USL/AT&T","1990s","mainstream-rising","evolved-into-modern-UNIX-and-Linux","aberdeen-open-online-transaction-process-ea272f","kastner-author","Underlying OS for open TP stack"
"oracle-rdbms","Oracle RDBMS (UNIX)","database","Oracle Corporation","1990s","mainstream-rising","leader","aberdeen-open-online-transaction-process-ea272f","kastner-author","Oracle UNIX RDBMS perspective papers cited"
"symmetric-multiprocessing","Symmetric Multiprocessing (SMP)","system-architecture","DEC/HP/Sun/Sequent/IBM","1990s","mainstream-rising","ubiquitous","aberdeen-open-online-transaction-process-ea272f","kastner-author","Microprocessor-MP paper Aug 1991 by Kastner/Willmott cited"
"ilm","Information Lifecycle Management (ILM)","framework","Industry / EMC","2003-present","emerging","legacy","aberdeen-preso-for-emc-final-storage-5-d855b8","kastner-author","Automating data lifecycle policies and related storage management; 'great new idea' with decade-long unfolding timeframe."
"pools-of-storage","Pools of Storage","framework","Aberdeen / Industry","2003-2010s","emerging","legacy","aberdeen-preso-for-emc-final-storage-5-d855b8","kastner-author","Tiered/pooled storage allocation model; 3/4 of surveyed respondents moderately-to-very familiar; market not yet buying in pools."
"storage-san","Storage Area Network (SAN)","platform","Industry Standard","1990s-present","mature","active","aberdeen-preso-for-emc-final-storage-5-d855b8","kastner-author","Underlying infrastructure for Pools of Storage."
"sarbanes-oxley","Sarbanes-Oxley Act (SOX)","framework","US Federal","2002-present","emerging","active","aberdeen-preso-for-emc-final-storage-5-d855b8","kastner-author","Requires end-to-end track-and-trace of supplier relationships; driver for retention and data management."
"rfid","Radio Frequency Identification (RFID)","protocol","Industry Standard","2000s-present","emerging","active","aberdeen-preso-for-emc-final-storage-5-d855b8","kastner-author","Cited in research agenda (RFID in consumer industries, RFID-enabled asset management)."
"soa-management-governance","SOA Management and Governance","category","industry","2005-2015","growth","evolved-to-api-governance","aberdeen-ra-soa-management-governance-20-ff6a2c","kastner-author","Operations + design-time governance category"
"design-time-governance","Design-Time Governance","discipline","industry","2005-present","growth","active","aberdeen-ra-soa-management-governance-20-ff6a2c","kastner-author","Pre-deployment policy + re-use enforcement"
"operational-governance","Operational SOA Governance","discipline","industry","2005-2015","growth","evolved-to-service-mesh","aberdeen-ra-soa-management-governance-20-ff6a2c","kastner-author","Runtime policy enforcement + monitoring"
"application-lifecycle-management","Application Lifecycle Management (ALM)","category","industry","2000s-present","growth","active","aberdeen-ra-soa-management-governance-20-ff6a2c","kastner-author","Integrated PM + dev + test + ops tooling"
"aberdeen-pace-framework","Aberdeen PACE Framework","methodology","Aberdeen Group","1990s-2010s","active","legacy","aberdeen-ra-soa-management-governance-20-ff6a2c","kastner-author","Pressures-Actions-Capabilities-Enablers benchmarking"
"soapscope-mindreef","Mindreef SOAPscope / SOAPscope Server","tool","Mindreef","2003-2008","mature","discontinued","aberdeen-ra-soa-management-governance-20-ff6a2c","kastner-author","SOA prototyping/compliance/testing/diagnostics tool; 1,200+ orgs / 3,000+ customers"
"aberdeen-three-tier-plus","Aberdeen 'Three-Tier Plus' Enterprise Topology Model","enterprise-architecture-framework","Aberdeen Group","1990s","current-1992","evolved-into-modern-data-mesh-lakehouse","aberdeen-snr-architecture-three-tier-sli-abaaa5","kastner-author","Enterprise server + decision support + analytical system + replicated departmental + edge clients"
"client-server-1992","Client-Server (Aberdeen 1992 framing)","computing-paradigm","industry","1990s-present","hyped-1992","ubiquitous-as-modern-3-tier","aberdeen-snr-architecture-three-tier-sli-abaaa5","kastner-author","Aberdeen 1992: much hype, minimal application implementation, 6+ common definitions"
"aberdeen-critical-tech-planning","Aberdeen Critical Technology Planning Areas Framework","advisory-framework","Aberdeen Group","1990s","current-1992","obsolete-as-explicit-framework","aberdeen-snr-architecture-three-tier-sli-abaaa5","kastner-author","Systems Software / Application Development / Acquisition / Enterprise Topology"
"enterprise-spoke-interface","Aberdeen Enterprise-Spoke Interface Set","interface-architecture","Aberdeen Group","1990s","current-1992","evolved-into-modern-business-services","aberdeen-snr-architecture-three-tier-sli-abaaa5","kastner-author","Product Look-Up / Pricing Information / Order Entry / Master Database / Current Inventory"
"state-of-art-downsizing","State-of-the-Art Downsizing (Aberdeen 1992)","it-strategy-pattern","industry","early-1990s","current-1992","completed-into-distributed-systems","aberdeen-snr-architecture-three-tier-sli-abaaa5","kastner-author","Move from mainframe-centric to enterprise-server + departmental architecture"
"adobe-flash-swf","Adobe Flash / Macromedia Flash SWF","application","Macromedia (later Adobe)","2003","current","end-of-life","aberdeenmaxtortooldemo-03-2-5a8f38","kastner-author","Flash 6 compressed SWF binary; format defunct since 2020; formerly dominant for interactive web content"
"serial-ata","Serial ATA (SATA) / Midline Storage","storage","Maxtor","2003","emerging","dominant","aberdeenmaxtortooldemo-03-2-5a8f38","kastner-author","Subject of the interactive demo; midline tier in enterprise storage hierarchy visualization"
"athlon-xp","AMD Athlon XP Processor","hardware","AMD","2001-2003","current","{'lifecycle_current': 'discontinued', 'notes': 'AMD Athlon XP processors were discontinued circa 2005-2006, replaced by Athlon 64 (Socket 939/754) and then AM2 platform. No longer manufactured or supported.', 'source': 'https://forums.tomshardware.com/threads/amd-official-end-of-life-dates.295975/'}","amd-profile01-64e43b","kastner-author","Processor line using GHz-E model numbers (1500+ through 2000+)"
"intel-pentium4-willamette","Intel Pentium 4 (Willamette)","hardware","Intel","2000-2002","current","{'lifecycle_current': 'discontinued', 'notes': 'Intel Pentium 4 Willamette (130nm) was the first Pentium 4 core, released November 2000. Shipped until 2002 when Northwood replaced it. Fully discontinued by Intel circa 2008 for the broader P4 line.', 'source': 'https://en.wikipedia.org/wiki/Pentium_4'}","amd-profile01-64e43b","kastner-author","Competing processor; 2.0GHz Willamette used as AMD benchmark target"
"intel-pentium4-northwood","Intel Pentium 4 (Northwood)","hardware","Intel","2002-2003","emerging","{'lifecycle_current': 'discontinued', 'notes': 'Intel Pentium 4 Northwood (130nm) was a key P4 variant from 2002-2004, replaced by Prescott. The entire Pentium 4 line was discontinued by August 2008.', 'source': 'https://en.wikipedia.org/wiki/Pentium_4'}","amd-profile01-64e43b","kastner-author","130nm process, larger cache; obsoleted AMD's 2000+ equivalency claims"
"sysmark-2001","BAPCo SYSmark 2001","benchmark","BAPCo","2001-2002","current","{'lifecycle_current': 'discontinued', 'notes': ""BAPCo SYSmark 2001 is listed on BAPCo's End of Life Products page. BAPCo retired the product; licenses terminated, results no longer accepted. Superseded by SYSmark 2002, 2004, and subsequent versions."", 'source': 'https://bapco.com/end-of-life-products/'}","amd-profile01-64e43b","kastner-author","Comprised ~1/3 of AMD GHz-E score; AMD did not file results with Bapco"
"speccpu-2000","SPECcpu 2000","benchmark","SPEC","2000-2006","current","{'lifecycle_current': 'discontinued', 'notes': 'SPEC CPU2000 was officially retired in February 2007. Starting November 2006, all submissions required an accompanying CPU2006 result. After February 2007, no further results were accepted. Superseded by SPEC CPU2006, then CPU2017.', 'source': 'https://www.spec.org/cpu2000/retired/'}","amd-profile01-64e43b","kastner-author","Recommended by Aberdeen as more rigorous alternative benchmark"
"windows-xp","Microsoft Windows XP","platform","Microsoft","2001-2014","emerging","{'lifecycle_current': 'end-of-life', 'notes': 'Microsoft Windows XP reached end of extended support on April 8, 2014. No security updates since then. Fully end-of-life.', 'source': 'General knowledge / Microsoft lifecycle policy'}","amd-profile01-64e43b","kastner-author","Launched Oct 2001; application patches altered benchmark results"
"amd-true-performance-initiative","AMD True Performance Initiative (TPI)","standard","AMD","2001-2002","emerging","{'lifecycle_current': 'discontinued', 'notes': 'AMD True Performance Initiative (TPI) was a circa 2001-2002 AMD program to address perceived benchmarking bias in SYSmark 2001. It was a short-lived marketing/technical initiative tied to the Athlon XP era. AMD abandoned TPI when moving to Athlon 64 and model number ratings system.', 'source': 'https://www.realworldtech.com/sysmark-2001/'}","amd-profile01-64e43b","kastner-author","Announced Oct 2001 as replacement for GHz-E; Aberdeen applauded but noted slow progress"
"winbench-2000","Winbench 2000","benchmark","Ziff Davis / eTesting Labs","2000-2002","legacy","{'lifecycle_current': 'discontinued', 'notes': 'WinBench 2000 was a benchmark from Ziff-Davis/BizTech. The project was abandoned; WinBench 2000 never officially released (only WinBench 99 shipped). The benchmark suite was discontinued with the broader ET/BizTech benchmark program ending in the early 2000s.', 'source': 'https://www.storagereview.com/review/storagereview-coms-testbed3'}","amd-profile01-64e43b","kastner-author","Used DirectX 7.0 while systems ran DirectX 8.1; called obsolete by Aberdeen"
"expert-witness-method","Expert Witness Analytical Method","framework","Litigation Consulting","1990s-present","mature","active","andersen-report-cover-letter-to-weber-4-4d17ee","kastner-author","Kastner's signature analytical style: impact of technology on business, and how business people deploy technology for advantage."
"eclipsys-sunrisexa-3-3","Eclipsys SunriseXA Release 3.3","application","Eclipsys Corp.","2004","current","{'lifecycle_current': 'succeeded', 'notes': 'Eclipsys SunriseXA Release 3.3 was a specific 2004-era version of the EHR platform. Eclipsys was acquired by Allscripts in 2010 for $1.3B. The product was rebranded as Allscripts Sunrise, later transferred to Altera Digital Health. Current version is Sunrise 25.1 (2026). The specific release 3.3 is succeeded.', 'source': 'https://histalk2.com/2010/06/09/industry-reaction-allscripts-to-acquire-eclipsys/'}","auditor-report-4-43ad9b","kastner-author","Interim release; combines Sunrise Clinical Manager 3.04 workflow engine with SunriseXA database schema; fixes October 2003 response time issues"
"mercury-loadrunner","Mercury LoadRunner","application","Mercury Interactive","2000s","current","{'lifecycle_current': 'active', 'notes': 'Mercury LoadRunner is still actively maintained. Mercury Interactive was acquired by HP in 2006, then sold to Micro Focus in 2017, then to OpenText. LoadRunner 2023 R1 was released July 2023 with ongoing updates. Currently OpenText LoadRunner.', 'source': 'https://en.wikipedia.org/wiki/LoadRunner'}","auditor-report-4-43ad9b","kastner-author","Industry-standard load testing software; Mercury TestCenter 7.8 version used in benchmark"
"unisys-es7000","Unisys ES7000 Database Server","hardware","Unisys","early 2000s","current","{'lifecycle_current': 'discontinued', 'notes': 'Unisys ES7000 was a 32-way Intel Xeon-based server. Business Information Server software for ES7000 was discontinued (UnixWare edition discontinued Nov 30, 2005). The hardware is no longer sold or supported. Compaq dropped the ES7000 in 2001.', 'source': 'https://public.support.unisys.com/mapper/docs/discontinuance/78321270-011.pdf'}","auditor-report-4-43ad9b","kastner-author","8x 2.8-GHz Xeon processors; used as SUT (System Under Test) for SunriseXA benchmark; 40% CPU at peak"
"windows-2000-datacenter-sp4","Windows 2000 Data Center SP4","platform","Microsoft","2000-2004","current","{'lifecycle_current': 'end-of-life', 'notes': 'Windows 2000 (all editions including Datacenter Server SP4) reached end of extended support on July 13, 2010. Fully end-of-life with no security updates.', 'source': 'General knowledge / Microsoft lifecycle'}","auditor-report-4-43ad9b","kastner-author","Database server OS in benchmark SUT configuration"
"windows-2000-advanced-server-sp4","Windows 2000 Advanced Server SP4","platform","Microsoft","2000-2004","current","{'lifecycle_current': 'end-of-life', 'notes': 'Windows 2000 Advanced Server SP4 reached end of extended support on July 13, 2010. Fully end-of-life.', 'source': 'General knowledge / Microsoft lifecycle'}","auditor-report-4-43ad9b","kastner-author","Application server OS in benchmark SUT"
"sql-server-2000","SQL Server 2000 (v8.00.850)","application","Microsoft","2000-2005","current","{'lifecycle_current': 'end-of-life', 'notes': 'SQL Server 2000 (v8.x) reached end of extended support on April 9, 2013. No security updates available. Fully end-of-life.', 'source': 'General knowledge / Microsoft lifecycle'}","auditor-report-4-43ad9b","kastner-author","Database platform used in SunriseXA benchmark SUT"
"emc-powerpath","EMC PowerPath 3.02","storage","EMC","early 2000s","current","{'lifecycle_current': 'end-of-life', 'notes': 'Dell EMC PowerPath entered end of life (EOL) on July 31, 2024. Standard support continues until July 2027. No longer purchasable as new software; existing licenses can continue in use. Succeeded by native OS multipathing (MPIO).', 'source': 'https://drewtonnesen.wordpress.com/2024/11/20/pp-to-mpio/'}","auditor-report-4-43ad9b","kastner-author","Storage multipathing software in SUT"
"emc-navisphere","EMC Navisphere 6.4.0.5.2","storage","EMC","early 2000s","current","{'lifecycle_current': 'discontinued', 'notes': 'EMC Navisphere (v6.4.x, as referenced in the document) was the management software for CLARiiON CX arrays. With the CX array EOSL complete (2011-2016), Navisphere is fully discontinued. Replaced by Unisphere for VNX/Unity.', 'source': 'General knowledge / EMC product history'}","auditor-report-4-43ad9b","kastner-author","Storage management software in SUT"
